Date,FB,AMZN,AAPL,GOOG
7/31/2014,72.65,312.99,95.6,571.6
8/1/2014,72.36,307.06,96.13,566.07
8/4/2014,73.51,313.65,95.59,573.15
8/5/2014,72.69,312.32,95.12,565.07
8/6/2014,72.47,313.89,94.96,566.374
8/7/2014,73.17,311.45,94.48,563.36
8/8/2014,73.06,316.8,94.74,568.77
8/11/2014,73.44,318.33,95.99,567.88
8/12/2014,72.83,319.32,95.97,562.73
8/13/2014,73.77,326.28,97.24,574.78
8/14/2014,74.296,333.21,97.5,574.65
8/15/2014,73.63,333.63,97.98,573.48
8/18/2014,74.59,334.53,99.16,582.16
8/19/2014,75.29,335.13,100.53,586.86
8/20/2014,74.81,335.78,100.57,584.49
8/21/2014,74.57,332.91,100.58,583.37
8/22/2014,74.57,331.59,101.32,582.56
8/25/2014,75.02,334.02,101.54,580.2
8/26/2014,75.9601,341.83,100.889,577.86
8/27/2014,74.63,343.18,102.13,571
8/28/2014,73.855,340.02,102.25,569.2
8/29/2014,74.82,339.04,102.5,571.6
9/2/2014,76.68,342.38,103.3,577.33
9/3/2014,75.83,339,98.94,577.94
9/4/2014,75.95,345.95,98.12,581.98
9/5/2014,77.26,346.38,98.97,586.08
9/8/2014,77.89,342.34,98.36,589.72
9/9/2014,76.67,329.75,97.99,581.01
9/10/2014,77.43,331.33,101,583.1
9/11/2014,77.92,330.52,101.43,581.35
9/12/2014,77.48,331.19,101.66,575.62
9/15/2014,74.58,323.89,101.63,573.1
9/16/2014,76.08,327.76,100.86,579.95
9/17/2014,76.43,324,101.58,584.77
9/18/2014,77,325,101.79,589.27
9/19/2014,77.91,331.32,100.96,596.08
9/22/2014,76.8,324.5,101.06,587.37
9/23/2014,78.29,323.63,102.64,581.13
9/24/2014,78.535,328.21,101.75,587.99
9/25/2014,77.22,321.93,97.87,575.06
9/26/2014,78.79,323.21,100.75,577.1
9/29/2014,79,321.82,100.11,576.36
9/30/2014,79.04,322.44,100.75,577.36
10/1/2014,76.55,317.46,99.18,568.27
10/2/2014,77.08,318.41,99.9,570.08
10/3/2014,77.44,322.74,99.62,575.28
10/6/2014,77.555,322.2,99.62,577.35
10/7/2014,76.29,316.98,98.75,563.74
10/8/2014,77.52,322.7,100.8,572.5
10/9/2014,75.91,315.37,101.02,560.88
10/10/2014,72.91,311.39,100.73,544.49
10/13/2014,72.99,306.45,99.81,533.21
10/14/2014,73.59,308.31,98.75,537.94
10/15/2014,73.21,305.97,97.54,530.03
10/16/2014,72.63,302.86,96.26,524.51
10/17/2014,75.95,303.64,97.67,511.17
10/20/2014,76.95,306.21,99.76,520.84
